Conversations,LastIteration,TrainingString,Type
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: - Welcome to Bell Road Toyota Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you needHow can I assist you today?
👱‍♀️: - Secret manager.
   👩🏻‍💻: - Please say your message and we will try to assist you.
👱‍♀️: - I recently just died last weekend, purchase a new car. I noticed an issue with a I reached out to the salesperson.
   👩🏻‍💻: - Great. Please say your first name then spell it
👱‍♀️: - Nicole, Nicole.
   👩🏻‍💻: - Please say your last name then spell 
👱‍♀️: - Osborne OS b as in boy, o. R n.
   👩🏻‍💻: - Please enter a 10 digit phone number
👱‍♀️: - 
   👩🏻‍💻: - No matched intent
👱‍♀️: - Floor a 029-4494 for.
   👩🏻‍💻: - Please enter a 10 digit phone number
👱‍♀️: - 
   👩🏻‍💻: - No matched intent","
👱‍♀️: - 480-2294.
   👩🏻‍💻: - Please enter a 10 digit phone number",Secret manager. ‍,Operator
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -  Welcome to Bell Road Toyota Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you needHow can I assist you today? ","
👱‍♀️: - Hello.
   👩🏻‍💻: - No matched intent", Hello. ‍,Other
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -   Hello Ms Perry   Welcome to Bell Road Toyota Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you needHow can I assist you today? 
👱‍♀️: - With trunk is done.
   👩🏻‍💻: -    Please say your vehicle year, make and model   
👱‍♀️: - 2014. Toyota Takoma under Randall Perry.
   👩🏻‍💻: -  Would you like drop off your vehicle or wait at the dealership? 
👱‍♀️: - Snow.
   👩🏻‍💻: - Would you like drop off your vehicle or wait at the dealership?
👱‍♀️: - I want to pick it up.
   👩🏻‍💻: - Please say your message and we will try to assist you.
👱‍♀️: - 
   👩🏻‍💻: - No matched intent","
👱‍♀️: - I want to speak to the service manager.
   👩🏻‍💻: -    Great. I have notified our agents, and they will follow up with you shortly. Good bye.   ",With trunk is done. ‍,Status
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -   Hello Ms Sandoval   Welcome to Bell Road Toyota Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you needHow can I assist you today? 
👱‍♀️: - Is there anyway, I can speak to Cedric.
   👩🏻‍💻: - Please say your message and we will try to assist you.","
👱‍♀️: - Danny is to be Maya.
   👩🏻‍💻: -    Great. I have notified our agents, and they will follow up with you shortly. Good bye.   ","Is there anyway, I can speak to Cedric. ‍",Operator
,"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -   Hello Mr Hoke   Welcome to Bell Road Toyota Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you needHow can I assist you today? ",Other,Other
,"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -   Hello Mr Hoke   Welcome to Bell Road Toyota Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you needHow can I assist you today? ",Other,Other
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -   Hello Ms Garcia   Welcome to Bell Road Toyota Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you needHow can I assist you today? 
👱‍♀️: - I'm going to schedule an oil change in the tire rotation.
   👩🏻‍💻: -    Please say your vehicle year, make and model   
👱‍♀️: - 2021, kamry Toyota.
   👩🏻‍💻: -  Would you like drop off your vehicle or wait at the dealership? 
👱‍♀️: - And oil change.
   👩🏻‍💻: - No matched intent
👱‍♀️: - 2021, kamry Toyota.
   👩🏻‍💻: -    Now, please tell me what services you would like?   
👱‍♀️: - Car tire, rotation, and oil change.
   👩🏻‍💻: - Would you like drop off your vehicle or wait at the dealership?
👱‍♀️: - Wait at the dealership.
   👩🏻‍💻: - Our first availability isThursday September 15th at 9:30 AM, 12:00 PM and 1:00 PM   Please select a time, say next, or say a date 
👱‍♀️: - Do you have anything sooner than the 15th?
   👩🏻‍💻: - We have availabilityThursday September 15th at 9:30 AM, 10:30 AM and 12:00 PMPlease select a time, say next, or say a date
👱‍♀️: - Do you have 19th of September available?
   👩🏻‍💻: - No matched intent
👱‍♀️: - Speak to representative, please.
   👩🏻‍💻: - Please say your message and we will try to assist you.","
👱‍♀️: - I need a secret representative.
   👩🏻‍💻: -    Great. I have notified our agents, and they will follow up with you shortly. Good bye.   ",I'm going to schedule an oil change in the tire rotation. ‍,Booking
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -  Welcome to Bell Road Toyota Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you needHow can I assist you today? ","
👱‍♀️: - 
   👩🏻‍💻: - No matched intent", ‍,Other
"
👱‍♀️: - WELCOME
   👩🏻‍💻: -   Hello Ms Torres   Welcome to Bell Road Toyota Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you needHow can I assist you today? 
👱‍♀️: - Book. Service appointment.
   👩🏻‍💻: -   Please say your vehicle year, make and model  
👱‍♀️: - 2022. Toyota RAV4 hybrid.
   👩🏻‍💻: -    Now, please tell me what services you would like?   
👱‍♀️: - Oil change.
   👩🏻‍💻: - Would you like drop off your vehicle or wait at the dealership?
👱‍♀️: - Drop off.
   👩🏻‍💻: - Our first availability isThursday September 15th at 9:30 AM, 12:00 PM and 1:00 PM   Please select a time, say next, or say a date ","
👱‍♀️: - Tomorrow Saturday, the September 3rd.
   👩🏻‍💻: - We do not have any availability on that day We have availabilityThursday September 15th at 9:30 AM, 12:00 PM and 1:00 PMPlease select a time, say next, or say a date",Book. Service appointment. ‍,Booking
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -   Hello Ms Condotta   Welcome to Bell Road Toyota Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you needHow can I assist you today? 
👱‍♀️: - Set store service.
   👩🏻‍💻: - No matched intent","
👱‍♀️: - Other.
   👩🏻‍💻: - Please say your message and we will try to assist you.",Set store service. ‍,Other
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -   Hello Mr Zaragosa   Welcome to Bell Road Toyota Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you needHow can I assist you today? 
👱‍♀️: - Just a service.
   👩🏻‍💻: -   Please say your vehicle year, make and model  
👱‍♀️: - 2014.
   👩🏻‍💻: - Please say your vehicle's model, for example, Corolla 
👱‍♀️: - Lexus.
   👩🏻‍💻: - What is the car year?
👱‍♀️: - 24.
   👩🏻‍💻: - What is your car model, for example, RX?
👱‍♀️: - Sia.
   👩🏻‍💻: - What is your car model, for example, RX?
👱‍♀️: - R es250.
   👩🏻‍💻: - Thank you. Now, please tell me what service you would like, for example oil change?","
👱‍♀️: - Oil change.
   👩🏻‍💻: - Would you like drop off your vehicle or wait at the dealership?",Just a service. ‍,Booking
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -   Hello Mr Schroder   Welcome to Bell Road Toyota Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you needHow can I assist you today? 
👱‍♀️: - Confirm tomorrow's appointment.
   👩🏻‍💻: - Please leave us a short message and our agents will follow up with you shortly. ","
👱‍♀️: - This is Jeff Schroeder. I just confirming my appointment for my truck on Saturday.
   👩🏻‍💻: -    Great. I have notified our agents, and they will follow up with you about your status.   ",Confirm tomorrow's appointment. ‍,Confirm
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -   Hello Mr Oxford   Welcome to Bell Road Toyota Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you needHow can I assist you today? 
👱‍♀️: - Appointment.
   👩🏻‍💻: -   Please say your vehicle year, make and model  
👱‍♀️: - 2013, Cadillac SRX 4.
   👩🏻‍💻: - Thank you. Our automated service only handles Toyota models. Please say another year make and model, or say operator to get assistance for your cadillac.
👱‍♀️: - Evaporator.
   👩🏻‍💻: - Please say your message and we will try to assist you.
👱‍♀️: - Make an appointment.
   👩🏻‍💻: -    Thank you. Glad to help you with your appointment. Please say your vehicle year, make and model   ","
👱‍♀️: - 2 representative.
   👩🏻‍💻: -    Great. I have notified our agents, and they will follow up with you shortly. Good bye.   ",Appointment. ‍,Booking
,"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -   Hello Mr Primera   Welcome to Bell Road Toyota Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you needHow can I assist you today? ",Other,Other
,"
👱‍♀️: - WELCOME
   👩🏻‍💻: -  Welcome to Bell Road Toyota Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you needHow can I assist you today? ",Other,Other
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -  Welcome to Bell Road Toyota Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you needHow can I assist you today? ","
👱‍♀️: - Booking appointment.
   👩🏻‍💻: -   Please say your vehicle year, make and model  ", Booking appointment. ‍,Booking
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -   Hello Mr George   Welcome to Bell Road Toyota Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you needHow can I assist you today? 
👱‍♀️: - Sam's Club appointment.
   👩🏻‍💻: -   Please say your vehicle year, make and model  
👱‍♀️: - 2021. Toyota Highlander
   👩🏻‍💻: -    Now, please tell me what services you would like?   
👱‍♀️: - Oil change.
   👩🏻‍💻: - Would you like drop off your vehicle or wait at the dealership?","
👱‍♀️: - Representative.
   👩🏻‍💻: - Please say your message and we will try to assist you.",Sam's Club appointment. ‍,Cancel
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -   Hello Ms Harris   Welcome to Bell Road Toyota Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you needHow can I assist you today? 
👱‍♀️: - Book appointment.
   👩🏻‍💻: -    Thank you    would you like to book an appointment for your    2021 rav4 ?   
👱‍♀️: - Yes.
   👩🏻‍💻: -    Now, please tell me what services you would like?   
👱‍♀️: - 15000 miles.
   👩🏻‍💻: - No matched intent
👱‍♀️: - Oil, chage.
   👩🏻‍💻: - Would you like drop off your vehicle or wait at the dealership?
👱‍♀️: - Drop it off.
   👩🏻‍💻: - Our first availability isWednesday September 14th at 9:00 AM   Please select a time, say next, or say a date 
👱‍♀️: - 
   👩🏻‍💻: - No matched intent
👱‍♀️: - Saturday, September 17th.
   👩🏻‍💻: - We have availabilitySaturday September 17th at 9:30 AM, 12:30 PM and 1:30 PMPlease select a time, say next, or say a date
👱‍♀️: - Saturday, September 24th.
   👩🏻‍💻: - We have availabilitySaturday September 24th at 8:00 AM, 9:00 AM and 10:00 AMPlease select a time, say next, or say a date","
👱‍♀️: - eight a.m.
   👩🏻‍💻: -    Great. You are booked. Your confirmation is on the way. Our team looks forward to seeing you soon. Good bye.   ",Book appointment. ‍,Booking
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -   Hello Mr Primera   Welcome to Bell Road Toyota Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you needHow can I assist you today? 
👱‍♀️: - My battery warranty.
   👩🏻‍💻: - Please say your message and we will try to assist you.","
👱‍♀️: - I just messages for Todd or my crosses.
   👩🏻‍💻: -    Great. I have notified our agents, and they will follow up with you shortly. Good bye.   ",My battery warranty. ‍,Warranty
,"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -   Hello Mr Quezada   Welcome to Bell Road Toyota Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you needHow can I assist you today? ",Other,Other
,"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -   Hello Mr Quezada   Welcome to Bell Road Toyota Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you needHow can I assist you today? ",Other,Other
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -   Hello Mr Mccann   Welcome to Bell Road Toyota Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you needHow can I assist you today? 
👱‍♀️: - 
   👩🏻‍💻: - No matched intent
👱‍♀️: - 
   👩🏻‍💻: - No matched intent
👱‍♀️: - Make appointment.
   👩🏻‍💻: -   Please say your vehicle year, make and model  
👱‍♀️: - 2011, Toyota RAV4.
   👩🏻‍💻: -    Now, please tell me what services you would like?   
👱‍♀️: - The vehicle won't start going to be chosen to your dealership.
   👩🏻‍💻: - Would you like drop off your vehicle or wait at the dealership?
👱‍♀️: - The car will be taken to the dealership.
   👩🏻‍💻: - Our first availability isTuesday September 6th at 10:20 AM and 1:00 PM   Please select a time, say next, or say a date 
👱‍♀️: - September 2nd.
   👩🏻‍💻: - We do not have any availability on that day We have availabilityTuesday September 6th at 10:20 AM and 1:00 PMPlease select a time, say next, or say a date","
👱‍♀️: - September 2nd.
   👩🏻‍💻: - We do not have any availability on that day We have availabilityTuesday September 6th at 10:20 AM and 1:00 PMPlease select a time, say next, or say a date",Make appointment.,Booking
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: - Welcome to Napa Ford Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you need. How can I assist you today?
👱‍♀️: - Oil change.
   👩🏻‍💻: -    Thank you. Glad to help you with your appointment. Please say your vehicle year, make and model   
👱‍♀️: - Ford F150, 20 18.
   👩🏻‍💻: -    Now, please tell me what services you would like?   
👱‍♀️: - Oil change.
   👩🏻‍💻: -    Would you like any other services?   
👱‍♀️: - Know.
   👩🏻‍💻: -  Would you like to drop off your vehicle, wait at the dealership, or would you need a ride? 
👱‍♀️: - Wait at the dealership.
   👩🏻‍💻: - Our first availability isWednesday September 7th at 7:45 AM, 8:45 AM and 9:45 AM   Please select a time, say next, or say a date ","
👱‍♀️: - Today.
   👩🏻‍💻: - We do not have any availability on that day We have availabilityWednesday September 7th at 7:45 AM, 8:45 AM and 9:45 AMPlease select a time, say next, or say a date",Oil change. ‍,Booking
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: - Welcome to Napa Ford Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you need. How can I assist you today?
👱‍♀️: - Service Department, please.
   👩🏻‍💻: - Please say your message and we will try to assist you.
👱‍♀️: - Nicholas are from Nissan of Vacaville to call me back till to. Let Tim know that the Murano is good to go and finish.
   👩🏻‍💻: - Great. Please say your first name then spell it
👱‍♀️: - Nicholas. Nicholas.
   👩🏻‍💻: - Please say your last name then spell 
👱‍♀️: - Barringer Barringer.
   👩🏻‍💻: - Please enter a 10 digit phone number","
👱‍♀️: - 
   👩🏻‍💻: - No matched intent","Service Department, please. ‍",Operator
,"
👱‍♀️: - WELCOME
   👩🏻‍💻: - Welcome to Napa Ford Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you need. How can I assist you today?",Other,Other
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: - Welcome to Napa Ford Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you need. How can I assist you today?
👱‍♀️: - I need to speak to assistant person.
   👩🏻‍💻: - Please say your message and we will try to assist you.
👱‍♀️: - Need to speak to somebody.
   👩🏻‍💻: - Great. Please say your first name then spell it
👱‍♀️: - I need to speak to Steve.
   👩🏻‍💻: - Please say your last name then spell 
👱‍♀️: - I need to speak to someone directly.
   👩🏻‍💻: - Please enter a 10 digit phone number","
👱‍♀️: - I don't have to cancel it.
   👩🏻‍💻: - No matched intent",I need to speak to assistant person. ‍,Operator
,"
👱‍♀️: - WELCOME
   👩🏻‍💻: - Welcome to Napa Ford Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you need. How can I assist you today?",Other,Other
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: - Welcome to Napa Ford Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you need. How can I assist you today?
👱‍♀️: - Speak to cylinder.
   👩🏻‍💻: - Please say your message and we will try to assist you.
👱‍♀️: - Speak to Salon.
   👩🏻‍💻: - Great. Please say your first name then spell it","
👱‍♀️: - Oh my gosh, I want to talk to somebody.
   👩🏻‍💻: - Please say your last name then spell ",Speak to cylinder. ‍,Operator
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: - Welcome to Napa Ford Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you need. How can I assist you today?
👱‍♀️: - I need to talk to Steve.
   👩🏻‍💻: - Please say your message and we will try to assist you.
👱‍♀️: - I need to talk to Steve.
   👩🏻‍💻: - Great. Please say your first name then spell it
👱‍♀️: - Set alarm to set.
   👩🏻‍💻: - Please say your last name then spell 
👱‍♀️: - To stat Doucette.
   👩🏻‍💻: - Please enter a 10 digit phone number
👱‍♀️: - 
   👩🏻‍💻: - No matched intent
👱‍♀️: - 707.
   👩🏻‍💻: - No matched intent","
👱‍♀️: - 707-339-3803.
   👩🏻‍💻: -    Please say yes to confirm our agent can contact you  ",I need to talk to Steve. ‍,Operator
,"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: - Welcome to Napa Ford Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you need. How can I assist you today?",Other,Other
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: - Welcome to Napa Ford Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you need. How can I assist you today?
👱‍♀️: - 
   👩🏻‍💻: - No matched intent
👱‍♀️: - Other.
   👩🏻‍💻: - Please say your message and we will try to assist you.
👱‍♀️: - First service.
   👩🏻‍💻: - Great. Please say your first name then spell it
👱‍♀️: - Danielle Danielle.
   👩🏻‍💻: - Please say your last name then spell 
👱‍♀️: - Hoskins Hoskins.
   👩🏻‍💻: - Please enter a 10 digit phone number
👱‍♀️: - 
   👩🏻‍💻: - No matched intent
👱‍♀️: - 707-942-5853.
   👩🏻‍💻: -    Please say yes to confirm our agent can contact you  ","
👱‍♀️: - Yes.
   👩🏻‍💻: -    Great. I have notified our agents, and they will follow up with you soon. Good bye.   ",First service.,Booking
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: - Welcome to Napa Ford Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you need. How can I assist you today?
👱‍♀️: - I would like to speak to Steve darchuk, please.
   👩🏻‍💻: - Please say your message and we will try to assist you.
👱‍♀️: - Steve Archer, please.
   👩🏻‍💻: - Great. Please say your first name then spell it
👱‍♀️: - Anderson Anderson.
   👩🏻‍💻: - Please say your last name then spell 
👱‍♀️: - Hill h, i l l.
   👩🏻‍💻: - Please enter a 10 digit phone number
👱‍♀️: - I would like to speak to Steve darchuk, please.
   👩🏻‍💻: - Please say your message and we will try to assist you.
👱‍♀️: - do you have by vehicle and I need to have the status
   👩🏻‍💻: - Please enter a 10 digit phone number
👱‍♀️: - 
   👩🏻‍💻: - No matched intent
👱‍♀️: - Operator, please.
   👩🏻‍💻: - Please say your message and we will try to assist you.","
👱‍♀️: - Camera problem. Take a drive.
   👩🏻‍💻: - Please enter a 10 digit phone number","I would like to speak to Steve darchuk, please. ‍",Operator
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: - Welcome to Napa Ford Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you need. How can I assist you today?
👱‍♀️: - Charter is gone in my truck.
   👩🏻‍💻: - No matched intent","
👱‍♀️: - Make appointment.
   👩🏻‍💻: -   Please say your vehicle year, make and model  ",Charter is gone in my truck. ‍,Booking
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: - Welcome to Ken Harvey's Dublin Honda Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you needHow can I assist you today? Please say operator 
👱‍♀️: - Evaporator.
   👩🏻‍💻: -    Please say your vehicle year, make and model   
👱‍♀️: - Honda Civic, 2007.
   👩🏻‍💻: -  Would you like drop off your vehicle or wait at the dealership? 
👱‍♀️: - Snow operator, I need operator.
   👩🏻‍💻: - Please say your message and we will try to assist you.
👱‍♀️: - I have some questions regarding the service for today.
   👩🏻‍💻: - Great. Please say your first name then spell it
👱‍♀️: - Laura l a u r. A
   👩🏻‍💻: - Please say your last name then spell 
👱‍♀️: - Omark worke.
   👩🏻‍💻: - Please enter a 10 digit phone number
👱‍♀️: - 
   👩🏻‍💻: - No matched intent
👱‍♀️: - 925-786-3244.
   👩🏻‍💻: -    Please say yes to confirm our agent can contact you  ","
👱‍♀️: - Yes.
   👩🏻‍💻: -    Great. I have notified our agents, and they will follow up with you soon. Good bye.   ",Evaporator. ‍,Operator
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -   Hello Ms Goode   Welcome to Ken Harvey's Dublin Honda Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you needHow can I assist you today? 
👱‍♀️: - Speak with a representative.
   👩🏻‍💻: - Please say your message and we will try to assist you.","
👱‍♀️: - About Ethan of service schedule for tomorrow.
   👩🏻‍💻: -    Great. I have notified our agents, and they will follow up with you shortly. Good bye.   ",Speak with a representative. ‍,Operator
"
👱‍♀️: - WELCOME
   👩🏻‍💻: -   Hello Ms Wilson   Welcome to Ken Harvey's Dublin Honda Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you needHow can I assist you today? 
👱‍♀️: - I'm trying to speak with Alex.
   👩🏻‍💻: - Please say your message and we will try to assist you.
👱‍♀️: - 
   👩🏻‍💻: - No matched intent","
👱‍♀️: - I am trying to reach Alex.
   👩🏻‍💻: -    Great. I have notified our agents, and they will follow up with you shortly. Good bye.   ",I'm trying to speak with Alex. ‍,Operator
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -   Hello Ms Jasso   Welcome to Ken Harvey's Dublin Honda Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you needHow can I assist you today? ","
👱‍♀️: - Status of my car service.
   👩🏻‍💻: -    Great. I have notified our agents, and they will follow up with you about your status.   ", Status of my car service. ‍,Status
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -   Hello Ms Jasso   Welcome to Ken Harvey's Dublin Honda Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you needHow can I assist you today? ","
👱‍♀️: - Checking on the status of my car service.
   👩🏻‍💻: -    Great. I have notified our agents, and they will follow up with you about your status.   ", Checking on the status of my car service. ‍,Status
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: - No matched intent
👱‍♀️: - The Way You Are.
   👩🏻‍💻: - No matched intent","
👱‍♀️: - Make an appointment.
   👩🏻‍💻: -   Please say your vehicle year, make and model  ",Make an appointment.,Booking
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: - No matched intent
👱‍♀️: - Other.
   👩🏻‍💻: - Please say your message and we will try to assist you.
👱‍♀️: - Customer service.
   👩🏻‍💻: - Great. Please say your first name then spell it
👱‍♀️: - Amandersings aminder.
   👩🏻‍💻: - Please say your last name then spell 
👱‍♀️: - Sindh.
   👩🏻‍💻: - Please enter a 10 digit phone number
👱‍♀️: - 408-464-9351.
   👩🏻‍💻: -    Please say yes to confirm our agent can contact you  ","
👱‍♀️: - Yes.
   👩🏻‍💻: -    Great. I have notified our agents, and they will follow up with you soon. Good bye.   ",Customer service. ‍,Operator
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: - Welcome to Ken Harvey's Dublin Honda Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you needHow can I assist you today? Please say operator ","
👱‍♀️: - Evaporator.
   👩🏻‍💻: -    Please say your vehicle year, make and model   ", Evaporator. ‍,Operator
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -   Hello Mr Longoria   Welcome to Ken Harvey's Dublin Honda Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you needHow can I assist you today? 
👱‍♀️: - Yes, I do you hear me?
   👩🏻‍💻: - No matched intent
👱‍♀️: - Other.
   👩🏻‍💻: - Please say your message and we will try to assist you.","
👱‍♀️: - Accident. Honda engine.
   👩🏻‍💻: -    Great. I have notified our agents, and they will follow up with you shortly. Good bye.   ","Yes, I do you hear me? ‍",Operator
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -   Hello Mr Sarda   Welcome to Ken Harvey's Dublin Honda Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you needHow can I assist you today? 
👱‍♀️: - Yep, Hope.
   👩🏻‍💻: - No matched intent
👱‍♀️: - Are there?
   👩🏻‍💻: - No matched intent
👱‍♀️: - Other.
   👩🏻‍💻: - Please say your message and we will try to assist you.","
👱‍♀️: - Can I come to Alex?
   👩🏻‍💻: -    Great. I have notified our agents, and they will follow up with you shortly. Good bye.   ","Yep, Hope. ‍",Other
"
👱‍♀️: - WELCOME
   👩🏻‍💻: -  Welcome to Ken Harvey's Dublin Honda Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you needHow can I assist you today? 
👱‍♀️: - I wanted to speak to the service manager.
   👩🏻‍💻: - Please say your message and we will try to assist you.
👱‍♀️: - 
   👩🏻‍💻: - No matched intent
👱‍♀️: - I put my job application in. Calling the service manager to speak about this job opportunity there
   👩🏻‍💻: - Great. Please say your first name then spell it
👱‍♀️: - Okay.
   👩🏻‍💻: - Please say your last name then spell ","
👱‍♀️: - Right. P r. I c e.
   👩🏻‍💻: -    Great. I have notified our agents, and they will follow up with you shortly. Good bye.   ",I wanted to speak to the service manager. ‍,Operator
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -   Hello Mr Adam   Welcome to Ken Harvey's Dublin Honda Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you needHow can I assist you today? 
👱‍♀️: - Yes, please.
   👩🏻‍💻: -    Thank you    would you like to book an appointment for your    2016 CRV ?   
👱‍♀️: - No, thank you.
   👩🏻‍💻: -    Now, please tell me what services you would like?   
👱‍♀️: - Alex.
   👩🏻‍💻: - No matched intent
👱‍♀️: - Oil change.
   👩🏻‍💻: - Would you like drop off your vehicle or wait at the dealership?
👱‍♀️: - Wait at the dealership.
   👩🏻‍💻: - Our first availability isTomorrow at 9:30 AM, 10:30 AM and 11:30 AM   Please select a time, say next, or say a date 
👱‍♀️: - A 5th.
   👩🏻‍💻: - We could not find any availability on that day. Please say a future date or say operator
👱‍♀️: - Evaporator.
   👩🏻‍💻: - Please say your message and we will try to assist you.","
👱‍♀️: - Can I speak with Alex?
   👩🏻‍💻: -    Great. I have notified our agents, and they will follow up with you shortly. Good bye.   ","Yes, please. ‍",Operator
"
👱‍♀️: - TELEPHONY_WELCOME
   👩🏻‍💻: -   Hello Mr Singh   Welcome to Ken Harvey's Dublin Honda Service Department. This is Allio, your digital assistant. I can book appointments or get you the help you needHow can I assist you today? 
👱‍♀️: - Urgent, please.
   👩🏻‍💻: -    Please contact the Honda care Roadside Assistance at 1-800-594 -7400   
👱‍♀️: - 
   👩🏻‍💻: - No matched intent
👱‍♀️: - 
   👩🏻‍💻: - No matched intent
👱‍♀️: - Make appointment.
   👩🏻‍💻: -   Please say your vehicle year, make and model  
👱‍♀️: - Hyundai in Honda CRV.
   👩🏻‍💻: - Thank you. Our automated service only handles Honda models. Please say another year make and model, or say operator to get assistance for your hyundai.
👱‍♀️: - Evaporator.
   👩🏻‍💻: - Please say your message and we will try to assist you.
👱‍♀️: - 
   👩🏻‍💻: - No matched intent","
👱‍♀️: - 
   👩🏻‍💻: - No matched intent","Urgent, please. ‍",Other
